Designator,Mid X,Mid Y,Rotation,Layer
BT1,141.3,-77.9,0.0,top
BT2,140.3,-106.7,180.0,top
C1,138.8,-87.0,90.0,top
C10,166.35,-84.7,0.0,top
C11,165.475,-88.25,90.0,top
C12,122.3,-106.6,0.0,top
C13,155.9,-83.1,90.0,top
C14,127.9,-107.1,0.0,top
C15,157.475,-93.05,180.0,top
C16,160.4,-82.2,-90.0,top
C17,157.0,-83.1,90.0,top
C18,163.0,-82.9,90.0,top
C19,130.0,-84.7,0.0,top
C2,141.2,-78.8,90.0,top
C20,153.7,-82.6,0.0,top
C21,163.5,-75.3,0.0,top
C22,153.8,-88.3,0.0,top
C23,125.5,-87.4,-90.0,top
C3,127.0,-93.2,180.0,top
C4,129.9,-96.6,-90.0,top
C5,110.8,-87.7,180.0,top
C6,165.6,-81.8,0.0,top
C7,162.2,-79.1,-90.0,top
C8,166.35,-83.6,0.0,top
C9,132.3,-103.4,-90.0,top
D1,100.7,-93.6,90.0,bottom
D3,159.1,-98.5,180.0,top
H1,106.0,-104.3,0.0,top
J1,163.275,-103.1,-90.0,top
J4,100.0,-76.3,0.0,top
J5,147.58,-108.1,-90.0,top
JP1,125.725,-82.3,-90.0,top
L1,167.175,-88.75,180.0,top
L2,158.9,-79.8,180.0,top
L3,158.4,-82.2,-90.0,top
R1,101.5,-88.3,0.0,top
R10,132.5,-100.3,180.0,top
R11,152.6,-107.7,90.0,top
R12,123.9,-104.0,-90.0,top
R13,122.7,-104.0,90.0,top
R14,127.9,-108.5,0.0,top
R19,137.6,-77.5,-90.0,top
R2,123.1,-87.4,90.0,top
R22,139.4,-77.5,-90.0,top
R23,137.9,-80.9,-90.0,top
R24,139.4,-80.9,-90.0,top
R3,156.8,-98.5,90.0,top
R4,160.025,-95.7,90.0,top
R5,161.6,-98.6,90.0,top
R6,142.9,-78.8,90.0,top
R7,126.8,-96.3,180.0,top
R8,128.6,-96.2,90.0,top
R9,131.7,-98.1,-90.0,top
RST1,157.8,-108.1,180.0,top
RST2,133.8,-78.9,-90.0,bottom
SW1,145.4,-78.9,90.0,bottom
SW11,114.1,-99.6,180.0,top
SW2,139.6,-78.9,90.0,bottom
SW22,114.1,-95.3,0.0,top
U1,148.8,-80.7,45.0,top
U2,140.703949,-90.503949,-45.0,top
U3,127.9,-102.1,-90.0,top
U4,161.175,-88.05,0.0,top
U5,129.4,-88.6,-90.0,top
Y1,164.2,-79.5,90.0,top
Y2,154.175,-85.55,-90.0,top
