Designator,Mid X,Mid Y,Rotation,Layer,Val,Package
D1,101.254,-93.731,90,bottom,IR333-A,LED_D5.0mm_Horizontal_O3.81mm_Z3.0mm
J1,119.475,-93.096,180,bottom,Conn_01x05_Male,PinHeader_1x05_P2.54mm_Vertical
J4,131.286,-88.186,180,bottom,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical
J5,145.58,-109.1,90,bottom,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical
JP1,123.793,-88.773,180,bottom,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical
RST2,163.02,-82.677,-90,bottom,SW_Push,SW_SPST_EVQPE1
SW1,146.113,-78.867,90,bottom,SW_Push,SW_SPST_EVQPE1
SW2,136.313,-78.867,90,bottom,SW_Push,SW_SPST_EVQPE1
BT1,142.45,-77.9,0,top,Battery_Cell,AA Batt
BT2,140.85,-106.7,180,top,Battery_Cell,AA Batt
C1,138.8,-87,90,top,10nF,C_0402_1005Metric
C2,141.4,-78.6,90,top,4.7uF,C_0603_1608Metric
C3,136.652,-103.251,-90,top,22uF,C_1206_3216Metric
C4,133.35,-99.822,0,top,10nF,C_0402_1005Metric
C5,110.8,-87.7,180,top,1000uF,CP_Elec_8x10.5
C9,132.588,-105.918,-90,top,10uF,C_1206_3216Metric
C12,122.555,-108.077,0,top,10uF,C_1206_3216Metric
C14,128.016,-109.093,0,top,20nF,C_0603_1608Metric
C15,156.4,-78.6,90,top,4.7uF,C_0805_2012Metric
C16,163.8,-77.1,0,top,1uF,C_0603_1608Metric
C18,154.5,-79.1,90,top,100nF,C_0402_1005Metric
C19,132.715,-84.582,90,top,100nF,C_0402_1005Metric
C21,173.6,-76.9,180,top,10uF,C_1206_3216Metric
C23,125.5,-85.758,-90,top,100nF,C_0402_1005Metric
D3,176.2,-107.88,180,top,LED_RGBA,FM-B2020RGBA-HG
H1,106.2,-104.3,0,top,MountingHole,Mounting Hole 2.3mm
J2,152.654,-98.425,180,top,Conn_01x06_Male,PinHeader_1x06_P2.54mm_Vertical
L2,162.2,-78.9,180,top,15nH,L_0402_1005Metric
L3,160.5,-77.1,180,top,10uH,L_0603_1608Metric
Q1,104.9,-95.1,180,top,BC817-40,SOT-23
Q2,133,-78.2,90,top,AO3401A,SOT-23
R1,108.7,-95.2,-90,top,4.7K,R_0402_1005Metric
R2,118.872,-89.662,-90,top,4.7K,R_0603_1608Metric
R3,173.9,-107.88,90,top,1K,R_0402_1005Metric
R4,177.125,-105.08,90,top,1K,R_0402_1005Metric
R5,178.7,-107.98,90,top,1K,R_0402_1005Metric
R6,123.698,-103.251,0,top,13K,R_0402_1005Metric
R7,125.857,-99.06,180,top,47K,R_0402_1005Metric
R8,133.096,-98.552,0,top,10K,R_0402_1005Metric
R9,132.969,-101.219,0,top,2.1M,R_0603_1608Metric
R10,133.223,-102.87,180,top,30K,R_0402_1005Metric
R11,152.6,-107.7,90,top,10K,R_0402_1005Metric
R12,124.206,-105.537,-90,top,470K,R_0402_1005Metric
R13,123.063,-105.537,90,top,300K,R_0402_1005Metric
R14,128.016,-110.493,0,top,1M,R_0402_1005Metric
R15,101.219,-87.4,90,top,22R,R_0603_1608Metric
R16,133,-81.3,180,top,47K,R_0402_1005Metric
R19,137.6,-77.5,-90,top,0R,R_0402_1005Metric
R22,139.4,-77.5,-90,top,0R,R_0402_1005Metric
R23,137.9,-80.9,-90,top,10K,R_0402_1005Metric
R24,139.4,-80.9,-90,top,10K,R_0402_1005Metric
RST1,157.8,-108.1,180,top,SW_Push,SW_SPST_EVQPE1
SW11,148.082,-76.28,180,top,SW_Push,SW_SPST_EVQPE1
SW22,148.082,-81.28,180,top,SW_Push,SW_SPST_EVQPE1
U1,120.301,-82.931,-70,top,IRM-H638T/TR2,IRM-H638
U2,140.203949,-91.003949,-45,top,PIR203A-S0,TO-39-3
U3,128.397,-104.394,-90,top,RS8032XK,SOIC-8_3.9x4.9mm_P1.27mm
U4,170.5,-91.5,-90,top,E73-2G4M04S-52810,E73-2G4M04S
U5,129.286,-84.1125,-90,top,HT7218,SOT-89-3
