"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"QR_Code_4mm";1;"LOGO";;;
2;"G***";"QR_Code_6mm";1;"LOGO";;;
3;"C5";"CP_Elec_8x10.5";1;"1000uF";;;
4;"SW1,RST1,SW2";"SW_SPST_EVQPE1";3;"SW_Push";;;
5;"Y2";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768KHz";;;
6;"C22,C6,C7,C20";"C_0402_1005Metric";4;"12pF";;;
7;"U1";"IRM-H638";1;"IRM-H638T/TR2";;;
8;"AE1";"Texas_SWRA117D_2.4GHz_Right";1;"Antenna_Dipole";;;
9;"R5,R4,R3";"R_0402_1005Metric";3;"1K";;;
10;"C3";"C_1206_3216Metric";1;"22uF";;;
11;"C16";"C_0603_1608Metric";1;"1uF";;;
12;"JP1";"PinHeader_1x03_P2.54mm_Vertical";1;"Jumper_3_Bridged12";;;
13;"R11,R23,R8,R24";"R_0402_1005Metric";4;"10K";;;
14;"R1,R2,R6";"R_0603_1608Metric";3;"100R";;;
15;"U4";"QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm";1;"nRF52810-QCAA-R";;;
16;"L3";"L_0603_1608Metric";1;"10uH";;;
17;"J4,J5";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Male";;;
18;"C11";"C_0402_1005Metric";1;"0.8pF";;;
19;"C13,C18,C19,C23,C17";"C_0402_1005Metric";5;"100nF";;;
20;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"32MHz";;;
21;"R12";"R_0402_1005Metric";1;"33K";;;
22;"R10";"R_0402_1005Metric";1;"30K";;;
23;"R19,R22";"R_0402_1005Metric";2;"0R";;;
24;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Male";;;
25;"U5";"SOT-89-3";1;"HT7218";;;
26;"C8";"C_0402_1005Metric";1;"100pF";;;
27;"D3";"FM-B2020RGBA-HG";1;"LED_RGBA";;;
28;"C2";"C_0603_1608Metric";1;"4.7uF";;;
29;"R7";"R_0402_1005Metric";1;"47K";;;
30;"R9";"R_0603_1608Metric";1;"2.1M";;;
31;"U2";"TO-39-3";1;"PIR203A-S0";;;
32;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"RS8032XK";;;
33;"C15";"C_0805_2012Metric";1;"4.7uF";;;
34;"C9,C21,C12";"C_1206_3216Metric";3;"10uF";;;
35;"BT2,BT1";"AA Batt";2;"Battery_Cell";;;
36;"C10";"C_0402_1005Metric";1;"NC";;;
37;"L1";"L_0402_1005Metric";1;"3.9nH";;;
38;"C4,C1";"C_0402_1005Metric";2;"10nF";;;
39;"L2";"L_0402_1005Metric";1;"15nH";;;
40;"C14";"C_0603_1608Metric";1;"20nF";;;
41;"D1";"LED_D5.0mm";1;"IR333-A";;;
42;"R13";"R_0402_1005Metric";1;"22K";;;
43;"R14";"R_0402_1005Metric";1;"1M";;;
44;"H1";"Mounting Hole 2.3mm";1;"MountingHole";;;
